Temperature,Humidity,Heat Index,CO,Smoke
22.1,43.0,21.49,0,0
22.1,43.1,21.49,0,0
22.1,43.1,21.49,0,0
22.1,43.0,21.49,0,0
22.1,43.1,21.49,0,0
22.1,43.1,21.49,0,0
22.1,43.1,21.49,0,0
22.1,43.1,21.49,0,0
22.1,43.2,21.49,0,0
22.1,43.2,21.49,0,0
22.1,43.1,21.49,0,0
22.1,43.2,21.49,0,0
22.1,43.2,21.49,0,0
22.1,43.2,21.49,0,0
22.1,43.2,21.49,0,0
22.1,43.2,21.49,0,0
22.2,43.2,21.6,0,0
22.1,43.2,21.49,0,0
22.2,43.2,21.6,0,0
22.2,43.2,21.6,0,0
22.2,43.2,21.6,0,0
22.2,43.2,21.6,0,0
22.2,43.2,21.6,0,0
22.2,43.2,21.6,0,0
22.2,43.2,21.6,0,0
22.2,43.3,21.61,0,0
22.2,43.3,21.61,0,0
22.2,43.3,21.61,0,0
22.2,43.3,21.61,0,0
22.2,43.3,21.61,0,0
22.2,43.3,21.61,0,0
22.2,43.2,21.6,0,0
22.2,43.2,21.6,0,0
22.2,43.2,21.6,0,0
22.2,43.1,21.6,0,0
22.2,43.1,21.6,0,0
22.2,43.1,21.6,0,0
22.2,43.1,21.6,0,0
22.2,43.1,21.6,0,0
22.2,43.1,21.6,0,0
22.2,43.1,21.6,0,0
22.2,43.0,21.6,0,0
22.2,43.0,21.6,0,0
22.2,43.0,21.6,0,0
22.3,43.0,21.71,0,0
22.2,42.9,21.6,0,0
22.3,42.9,21.71,0,0
22.3,42.9,21.71,0,0
22.3,42.9,21.71,0,0
22.3,42.8,21.7,0,0
22.3,42.9,21.71,0,0
22.3,43.0,21.71,0,0
22.3,43.0,21.71,0,0
22.3,42.9,21.71,0,0
22.3,42.9,21.71,0,0
22.3,42.9,21.71,0,0
22.3,42.8,21.7,0,0
22.3,42.8,21.7,0,0
22.3,42.7,21.7,0,0
22.3,42.6,21.7,0,0
22.3,42.6,21.7,0,0
22.3,42.6,21.7,0,0
22.3,42.6,21.7,0,0
22.3,42.6,21.7,0,0
22.3,42.5,21.7,0,0
22.3,42.5,21.7,0,0
22.3,42.4,21.69,0,0
22.4,42.4,21.8,0,0
22.3,42.4,21.69,0,0
22.3,42.4,21.69,0,0
22.3,42.4,21.69,0,0
22.3,42.3,21.69,0,0
22.3,42.4,21.69,0,0
22.4,42.4,21.8,0,0
22.4,42.4,21.8,0,0
22.4,42.3,21.8,0,0
22.4,42.3,21.8,0,0
22.4,42.4,21.8,0,0
22.4,42.3,21.8,0,0
22.4,42.4,21.8,0,0
22.4,42.4,21.8,0,0
22.4,42.4,21.8,0,0
22.4,42.4,21.8,0,0
22.4,42.4,21.8,0,0
22.4,42.4,21.8,0,0
22.4,42.4,21.8,0,0
22.4,42.5,21.81,0,0
22.4,42.4,21.8,0,0
22.4,42.4,21.8,0,0
22.4,42.4,21.8,0,0
22.4,42.4,21.8,0,0
22.4,42.4,21.8,0,0
22.4,42.5,21.81,0,0
22.4,42.5,21.81,0,0
22.4,42.5,21.81,0,0
22.4,42.5,21.81,0,0
22.4,42.6,21.81,0,0
22.4,42.6,21.81,0,0
22.4,42.6,21.81,0,0
22.4,42.6,21.81,0,0
22.5,42.7,21.92,0,0
22.4,42.6,21.81,0,0
22.4,42.6,21.81,0,0
22.4,42.6,21.81,0,0
22.5,42.6,21.92,0,0
22.5,42.7,21.92,0,0
22.5,42.7,21.92,0,0
22.5,42.7,21.92,0,0
22.5,42.6,21.92,0,0
22.5,42.6,21.92,0,0
22.5,42.7,21.92,0,0
22.5,42.7,21.92,0,0
22.5,42.7,21.92,0,0
22.5,42.6,21.92,0,0
22.5,42.6,21.92,0,0
22.5,42.5,21.92,0,0
22.5,42.4,21.91,0,0
22.5,42.4,21.91,0,0
22.5,42.4,21.91,0,0
22.5,42.4,21.91,0,0
22.5,42.3,21.91,0,0
22.5,42.4,21.91,0,0
22.5,42.3,21.91,0,0
22.5,42.4,21.91,0,0
22.5,42.3,21.91,0,0
22.5,42.3,21.91,0,0
22.5,42.3,21.91,0,0
22.5,42.3,21.91,0,0
22.5,42.3,21.91,0,0
22.5,42.3,21.91,0,0
22.5,42.3,21.91,0,0
22.5,42.3,21.91,0,0
22.5,42.4,21.91,0,0
