Temperature,Humidity,Heat Index,CO,Smoke
16.3,51.8,15.34,666,175
16.3,51.8,15.34,489,167
16.3,51.8,15.34,546,173
16.3,51.8,15.34,565,161
16.3,51.8,15.34,528,152
16.3,51.8,15.34,565,157
16.3,51.8,15.34,518,162
16.3,51.8,15.34,467,165
16.3,51.8,15.34,565,158
16.3,51.8,15.34,565,153
16.3,51.8,15.34,574,164
16.3,51.8,15.34,502,171
16.3,51.8,15.34,565,138
16.3,51.8,15.34,570,179
16.3,51.8,15.34,579,164
16.3,51.8,15.34,545,168
16.3,51.8,15.34,546,169
16.3,51.8,15.34,555,165
16.3,51.8,15.34,550,1163
16.3,51.8,15.34,666,175
16.3,51.8,15.34,489,167
16.3,51.8,15.34,546,173
16.3,51.8,15.34,565,161
16.3,51.8,15.34,528,152
16.3,51.8,15.34,565,157
16.3,51.8,15.34,518,162
16.3,51.8,15.34,467,165
16.3,51.8,15.34,565,158
16.3,51.8,15.34,565,153
16.3,51.8,15.34,574,164
16.3,51.8,15.34,502,171
16.3,51.8,15.34,565,138
16.3,51.8,15.34,570,179
16.3,51.8,15.34,579,164
16.3,51.8,15.34,545,168
16.3,51.8,15.34,546,169
16.3,51.8,15.34,555,165
22.6,34.6,21.82,3,3
22.6,34.6,21.82,3,3
22.6,34.6,21.82,3,3
22.6,34.6,21.82,2,2
22.6,34.6,21.82,2,2
22.6,34.5,21.82,2,2
22.6,34.5,21.82,3,2
22.6,34.5,21.82,2,3
22.6,34.5,21.82,3,2
22.6,34.4,21.81,3,2
22.6,34.4,21.81,2,2
22.6,34.4,21.81,2,3
22.6,34.4,21.81,2,2
22.6,34.3,21.81,2,2
22.6,34.3,21.81,2,2
22.6,34.3,21.81,2,2
22.6,34.3,21.81,3,2
22.5,34.2,21.7,3,2
22.5,34.2,21.7,3,3
22.5,34.2,21.7,3,2
22.5,34.2,21.7,3,3
22.5,34.2,21.7,3,3
22.5,34.2,21.7,3,3
22.5,34.2,21.7,4,3
22.5,34.2,21.7,3,3
22.5,34.1,21.7,4,3
22.5,34.1,21.7,4,3
22.5,34.1,21.7,4,3
22.5,34.1,21.7,4,3
22.5,34.2,21.7,4,3
22.5,34.2,21.7,33,17
23.2,34.4,22.47,30,17
23.2,34.4,22.47,31,17
23.2,34.4,22.47,32,14
23.2,34.4,22.47,29,17
23.2,34.4,22.47,32,17
23.2,34.4,22.47,32,17
23.2,34.4,22.47,28,16
23.2,34.3,22.47,28,17
23.2,34.3,22.47,28,16
23.2,34.3,22.47,27,16
23.2,34.3,22.47,28,15
23.3,34.2,22.58,29,18
23.3,34.2,22.58,30,17
23.3,34.2,22.58,27,14
23.3,34.2,22.58,28,16
23.4,34.2,22.69,29,17
23.4,34.2,22.69,29,17
23.4,34.2,22.69,27,16
23.4,34.2,22.69,29,17
23.4,34.1,22.69,85,38
24.7,32.3,24.07,96,43
24.7,32.3,24.07,99,47
24.7,32.3,24.07,109,49
24.7,32.3,24.07,110,52
24.7,32.3,24.07,137,56
24.7,32.3,24.07,134,52
24.7,32.3,24.07,125,44
24.8,32.4,24.18,91,39
24.8,32.4,24.18,94,39
24.8,32.4,24.18,80,36
24.8,32.4,24.18,79,36
24.9,32.4,24.29,71,33
24.9,32.4,24.29,64,32
24.9,32.4,24.29,68,31
24.9,32.4,24.29,69,31
25,32.3,24.4,66,31
25,32.3,24.4,59,30
25,32.3,24.4,60,29
25,32.3,24.4,58,29
25,32.1,24.39,60,27
25,32.1,24.39,58,25
25,32.1,24.39,54,27
25.9,31.1,25.36,504,217
25.9,31.1,25.36,753,200
25.9,31,25.35,3476,867
25.9,31,25.35,8118,227
25.9,31,25.35,2920,6652
25.9,31,25.35,46754,5417
26,31.2,25.47,70584,6838
26,31.2,25.47,73460,7097
26,31.2,25.47,74373,7567
26,31.2,25.47,73042,7284
26.1,31,25.58,60305,5895
26.1,31,25.58,56448,5028
26.1,31,25.58,43615,5120
26.1,31,25.58,50767,5660
26.1,30.9,25.57,41006,4695
26.1,30.9,25.57,45291,5335
26.1,30.9,25.57,54102,5357
26.1,30.9,25.57,51966,5604
26.1,30.9,25.57,48510,7365
26.1,30.9,25.57,75609,8597
26.1,30.9,25.57,84349,8124
26.1,30.9,25.57,91286,8431
26.1,30.8,25.57,120301,10491
26.1,30.8,25.57,140616,18449
26.1,30.8,25.57,319734,24861
26.1,30.8,25.57,433469,35198
26.1,30.9,25.57,1059783,56940
26.1,30.9,25.57,1111950,54684
26.1,30.9,25.57,1671441,100359
26.1,30.9,25.57,2287995,57990
26.1,30.9,25.57,4298953,253207
26.1,30.9,25.57,1529580,56202
26.1,30.9,25.57,672738,80883
26.1,30.9,25.57,2165969,78939
26.1,30.7,25.57,603245,34804
26.1,30.7,25.57,466447,25633
26.1,30.7,25.57,357852,11824
26.1,30.7,25.57,172374,12165
26.1,30.6,25.56,169495,13605
26.1,30.6,25.56,226800,21130
26.1,30.6,25.56,350798,23741
26.1,30.6,25.56,436495,30660
26.1,30.6,25.56,583409,43604
26.1,30.6,25.56,821123,44464
26.1,30.6,25.56,876996,48480
26.1,30.6,25.56,1307264,66728
26,30.5,25.45,726681,55747
26,30.5,25.45,805225,36519
26,30.5,25.45,89086,1850
26,30.5,25.45,15094,2236
26,30.4,25.45,14991,2080
26,30.4,25.45,15614,2309
26,30.4,25.45,20559,2574
26,30.4,25.45,19204,2498
26,30.4,25.45,19239,2401
