indice,Temperature,Humidity,Heat Index,CO,Smoke,etiqueta
1,22.1,43.0,21.49,0,0,0
2,22.1,43.1,21.49,0,0,0
3,22.1,43.1,21.49,0,0,0
4,22.1,43.0,21.49,0,0,0
5,22.1,43.1,21.49,0,0,0
6,22.1,43.1,21.49,0,0,0
7,22.1,43.1,21.49,0,0,0
8,22.1,43.1,21.49,0,0,0
9,22.1,43.2,21.49,0,0,0
10,22.1,43.2,21.49,0,0,0
11,22.1,43.1,21.49,0,0,0
12,22.1,43.2,21.49,0,0,0
13,22.1,43.2,21.49,0,0,0
14,22.1,43.2,21.49,0,0,0
15,22.1,43.2,21.49,0,0,0
16,22.1,43.2,21.49,0,0,0
17,22.2,43.2,21.6,0,0,0
18,22.1,43.2,21.49,0,0,0
19,22.2,43.2,21.6,0,0,0
20,22.2,43.2,21.6,0,0,0
21,22.2,43.2,21.6,0,0,0
22,22.2,43.2,21.6,0,0,0
23,22.2,43.2,21.6,0,0,0
24,22.2,43.2,21.6,0,0,0
25,22.2,43.2,21.6,0,0,0
26,22.2,43.3,21.61,0,0,0
27,22.2,43.3,21.61,0,0,0
28,22.2,43.3,21.61,0,0,0
29,22.2,43.3,21.61,0,0,0
30,22.2,43.3,21.61,0,0,0
31,22.2,43.3,21.61,0,0,0
32,22.2,43.2,21.6,0,0,0
33,22.2,43.2,21.6,0,0,0
34,22.2,43.2,21.6,0,0,0
35,22.2,43.1,21.6,0,0,0
36,22.2,43.1,21.6,0,0,0
37,22.2,43.1,21.6,0,0,0
38,22.2,43.1,21.6,0,0,0
39,22.2,43.1,21.6,0,0,0
40,22.2,43.1,21.6,0,0,0
41,22.2,43.1,21.6,0,0,0
42,22.2,43.0,21.6,0,0,0
43,22.2,43.0,21.6,0,0,0
44,22.2,43.0,21.6,0,0,0
45,22.3,43.0,21.71,0,0,0
46,22.2,42.9,21.6,0,0,0
47,22.3,42.9,21.71,0,0,0
48,22.3,42.9,21.71,0,0,0
49,22.3,42.9,21.71,0,0,0
50,22.3,42.8,21.7,0,0,0
51,22.3,42.9,21.71,0,0,0
52,22.3,43.0,21.71,0,0,0
53,22.3,43.0,21.71,0,0,0
54,22.3,42.9,21.71,0,0,0
55,22.3,42.9,21.71,0,0,0
56,22.3,42.9,21.71,0,0,0
57,22.3,42.8,21.7,0,0,0
58,22.3,42.8,21.7,0,0,0
59,22.3,42.7,21.7,0,0,0
60,22.3,42.6,21.7,0,0,0
61,22.3,42.6,21.7,0,0,0
62,22.3,42.6,21.7,0,0,0
63,22.3,42.6,21.7,0,0,0
64,22.3,42.6,21.7,0,0,0
65,22.3,42.5,21.7,0,0,0
66,22.3,42.5,21.7,0,0,0
67,22.3,42.4,21.69,0,0,0
68,22.4,42.4,21.8,0,0,0
69,22.3,42.4,21.69,0,0,0
70,22.3,42.4,21.69,0,0,0
71,22.3,42.4,21.69,0,0,0
72,22.3,42.3,21.69,0,0,0
73,22.3,42.4,21.69,0,0,0
74,22.4,42.4,21.8,0,0,0
75,22.4,42.4,21.8,0,0,0
76,22.4,42.3,21.8,0,0,0
77,22.4,42.3,21.8,0,0,0
78,22.4,42.4,21.8,0,0,0
79,22.4,42.3,21.8,0,0,0
80,22.4,42.4,21.8,0,0,0
81,22.4,42.4,21.8,0,0,0
82,22.4,42.4,21.8,0,0,0
83,22.4,42.4,21.8,0,0,0
84,22.4,42.4,21.8,0,0,0
85,22.4,42.4,21.8,0,0,0
86,22.4,42.4,21.8,0,0,0
87,22.4,42.5,21.81,0,0,0
88,22.4,42.4,21.8,0,0,0
89,22.4,42.4,21.8,0,0,0
90,22.4,42.4,21.8,0,0,0
91,22.4,42.4,21.8,0,0,0
92,22.4,42.4,21.8,0,0,0
93,22.4,42.5,21.81,0,0,0
94,22.4,42.5,21.81,0,0,0
95,22.4,42.5,21.81,0,0,0
96,22.4,42.5,21.81,0,0,0
97,22.4,42.6,21.81,0,0,0
98,22.4,42.6,21.81,0,0,0
99,22.4,42.6,21.81,0,0,0
100,22.4,42.6,21.81,0,0,0
101,22.5,42.7,21.92,0,0,0
102,22.4,42.6,21.81,0,0,0
103,22.4,42.6,21.81,0,0,0
104,22.4,42.6,21.81,0,0,0
105,22.5,42.6,21.92,0,0,0
106,22.5,42.7,21.92,0,0,0
107,22.5,42.7,21.92,0,0,0
108,22.5,42.7,21.92,0,0,0
109,22.5,42.6,21.92,0,0,0
110,22.5,42.6,21.92,0,0,0
111,22.5,42.7,21.92,0,0,0
112,22.5,42.7,21.92,0,0,0
113,22.5,42.7,21.92,0,0,0
114,22.5,42.6,21.92,0,0,0
115,22.5,42.6,21.92,0,0,0
116,22.5,42.5,21.92,0,0,0
117,22.5,42.4,21.91,0,0,0
118,22.5,42.4,21.91,0,0,0
119,22.5,42.4,21.91,0,0,0
120,22.5,42.4,21.91,0,0,0
121,22.5,42.3,21.91,0,0,0
122,22.5,42.4,21.91,0,0,0
123,22.5,42.3,21.91,0,0,0
124,22.5,42.4,21.91,0,0,0
125,22.5,42.3,21.91,0,0,0
126,22.5,42.3,21.91,0,0,0
127,22.5,42.3,21.91,0,0,0
128,22.5,42.3,21.91,0,0,0
129,22.5,42.3,21.91,0,0,0
130,22.5,42.3,21.91,0,0,0
131,22.5,42.3,21.91,0,0,0
132,22.5,42.3,21.91,0,0,0
133,22.5,42.4,21.91,0,0,0
134,22.5,42.3,21.91,0,0,0
135,22.5,42.3,21.91,0,0,0
136,22.5,42.3,21.91,0,0,0
137,22.5,42.3,21.91,0,0,0
138,22.5,42.3,21.91,0,0,0
