indice,Temperature,Humidity,Heat Index,CO,Smoke,etiqueta
290,16.3,51.8,15.34,666,175,1
291,16.3,51.8,15.34,489,167,1
292,16.3,51.8,15.34,546,173,1
293,16.3,51.8,15.34,565,161,1
294,16.3,51.8,15.34,528,152,1
295,16.3,51.8,15.34,565,157,1
296,16.3,51.8,15.34,518,162,1
297,16.3,51.8,15.34,467,165,1
298,16.3,51.8,15.34,565,158,1
299,16.3,51.8,15.34,565,153,1
300,16.3,51.8,15.34,574,164,1
301,16.3,51.8,15.34,502,171,1
302,16.3,51.8,15.34,565,138,1
303,16.3,51.8,15.34,570,179,1
304,16.3,51.8,15.34,579,164,1
305,16.3,51.8,15.34,545,168,1
306,16.3,51.8,15.34,546,169,1
307,16.3,51.8,15.34,555,165,1
308,16.3,51.8,15.34,550,1163,1
309,16.3,51.8,15.34,666,175,1
310,16.3,51.8,15.34,489,167,1
311,16.3,51.8,15.34,546,173,1
312,16.3,51.8,15.34,565,161,1
313,16.3,51.8,15.34,528,152,1
314,16.3,51.8,15.34,565,157,1
315,16.3,51.8,15.34,518,162,1
316,16.3,51.8,15.34,467,165,1
317,16.3,51.8,15.34,565,158,1
318,16.3,51.8,15.34,565,153,1
319,16.3,51.8,15.34,574,164,1
320,16.3,51.8,15.34,502,171,1
321,16.3,51.8,15.34,565,138,1
322,16.3,51.8,15.34,570,179,1
323,16.3,51.8,15.34,579,164,1
324,16.3,51.8,15.34,545,168,1
325,16.3,51.8,15.34,546,169,1
326,16.3,51.8,15.34,555,165,1
400,25.9,31.1,25.36,504,217,1
401,25.9,31.1,25.36,753,200,1
402,25.9,31.0,25.35,3476,867,1
403,25.9,31.0,25.35,8118,227,1
404,25.9,31.0,25.35,2920,6652,1
405,25.9,31.0,25.35,46754,5417,1
406,26.0,31.2,25.47,70584,6838,1
407,26.0,31.2,25.47,73460,7097,1
408,26.0,31.2,25.47,74373,7567,1
409,26.0,31.2,25.47,73042,7284,1
410,26.1,31.0,25.58,60305,5895,1
411,26.1,31.0,25.58,56448,5028,1
412,26.1,31.0,25.58,43615,5120,1
413,26.1,31.0,25.58,50767,5660,1
414,26.1,30.9,25.57,41006,4695,1
415,26.1,30.9,25.57,45291,5335,1
416,26.1,30.9,25.57,54102,5357,1
417,26.1,30.9,25.57,51966,5604,1
418,26.1,30.9,25.57,48510,7365,1
419,26.1,30.9,25.57,75609,8597,1
420,26.1,30.9,25.57,84349,8124,1
421,26.1,30.9,25.57,91286,8431,1
422,26.1,30.8,25.57,120301,10491,1
423,26.1,30.8,25.57,140616,18449,1
424,26.1,30.8,25.57,319734,24861,1
425,26.1,30.8,25.57,433469,35198,1
426,26.1,30.9,25.57,1059783,56940,1
427,26.1,30.9,25.57,1111950,54684,1
428,26.1,30.9,25.57,1671441,100359,1
429,26.1,30.9,25.57,2287995,57990,1
430,26.1,30.9,25.57,4298953,253207,1
431,26.1,30.9,25.57,1529580,56202,1
432,26.1,30.9,25.57,672738,80883,1
433,26.1,30.9,25.57,2165969,78939,1
434,26.1,30.7,25.57,603245,34804,1
435,26.1,30.7,25.57,466447,25633,1
436,26.1,30.7,25.57,357852,11824,1
437,26.1,30.7,25.57,172374,12165,1
438,26.1,30.6,25.56,169495,13605,1
439,26.1,30.6,25.56,226800,21130,1
440,26.1,30.6,25.56,350798,23741,1
441,26.1,30.6,25.56,436495,30660,1
442,26.1,30.6,25.56,583409,43604,1
443,26.1,30.6,25.56,821123,44464,1
444,26.1,30.6,25.56,876996,48480,1
445,26.1,30.6,25.56,1307264,66728,1
446,26.0,30.5,25.45,726681,55747,1
447,26.0,30.5,25.45,805225,36519,1
448,26.0,30.5,25.45,89086,1850,1
449,26.0,30.5,25.45,15094,2236,1
450,26.0,30.4,25.45,14991,2080,1
451,26.0,30.4,25.45,15614,2309,1
452,26.0,30.4,25.45,20559,2574,1
453,26.0,30.4,25.45,19204,2498,1
454,26.0,30.4,25.45,19239,2401,1
